generator  size  dt  physics_upsampling  t0  t_inj  inj_point  beta  level  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  20000.0  tm_12  140.75491077076475  -1.0093356498736892e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  40000.0  tm_12  12.312244997393396  -1.0729113601077251e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  60000.0  tm_12  26.022988548295288  -1.0129786100656522e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  80000.0  tm_23  71.00110937906258  9.552513889511608e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  100000.0  tm_13  4.131777932007455  9.749421538044329e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  120000.0  tm_32  77.90252403512355  1.0441981181310887e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  140000.0  tm_31  51.72789552373467  9.36875091903737e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  160000.0  tm_21  23.485022984648424  -1.0804270981904289e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  180000.0  tm_12  43.92123592034015  8.81084400339966e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  200000.0  tm_12  20.463767744569004  9.388973140851821e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  220000.0  tm_32  136.24754780738758  -9.728826480214964e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  240000.0  tm_13  1.7661847079653596  1.0968876372344184e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  260000.0  tm_32  68.4378684109996  9.905038816772345e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  280000.0  tm_31  52.899439018574576  1.0392118888332767e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  300000.0  tm_23  12.717895749909838  9.883931168543622e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  320000.0  tm_23  15.826716049939332  -9.269779560361249e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  340000.0  tm_31  12.321794413038642  -1.0089930074018451e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  360000.0  tm_32  102.72830095974706  9.792043028352276e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  380000.0  tm_12  140.16828905747735  -9.885948517247099e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  400000.0  tm_12  24.07123942952091  -8.632172313283326e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  420000.0  tm_13  14.575846728552419  8.452785085165982e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  440000.0  tm_32  91.88905114115099  -8.635139372158044e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  460000.0  tm_31  73.77666641133084  1.0313366778056342e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  480000.0  tm_13  1.553883240826723  1.028759276695731e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  500000.0  tm_12  66.97486513713432  -9.904251796133287e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  520000.0  tm_31  4.648159602903795  -9.100521247888999e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  540000.0  tm_13  31.10732582209281  9.644517261237418e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  560000.0  tm_12  9.828280522900643  -1.0825684259996156e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  580000.0  tm_13  1.56922991893478  1.2324732494999857e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  600000.0  tm_31  35.67237179548006  -1.117413524669587e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  620000.0  tm_31  30.327499006885155  -9.957057715320733e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  640000.0  tm_21  15.691507117037427  1.0972179031697198e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  660000.0  tm_13  18.7287334846412  -1.0025852392396089e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  680000.0  tm_31  114.45662065698198  9.535914310985138e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  700000.0  tm_32  170.56338347157507  -1.0355717515062462e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  720000.0  tm_13  210.86457925360236  1.0946883632708763e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  740000.0  tm_12  72.9868164035456  9.32857667621611e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  760000.0  tm_13  9.251345212177613  8.401957754576687e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  780000.0  tm_31  30.93733016224678  -9.054222941972658e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  800000.0  tm_12  41.22741619057331  -1.0327136967182913e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  820000.0  tm_23  110.1311592531361  1.196537892659305e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  840000.0  tm_13  9.587234216691835  -1.0542671783143248e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  860000.0  tm_32  38.49963305294362  -9.149285067666343e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  880000.0  tm_32  11.927583815446853  -9.629137703836541e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  900000.0  tm_23  1.390505239620457  8.700550359901748e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  920000.0  tm_23  6.2722847393642605  -1.0179851047867261e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  940000.0  tm_32  27.827944009253375  1.1122700813544205e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  960000.0  tm_23  2.61973401361177  9.825029971413697e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  980000.0  tm_23  9.976944962708863  8.672914950684073e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  1000000.0  tm_12  31.048606710233877  9.529254088050833e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  1020000.0  tm_23  5.421526808538569  -9.020107186887521e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  1040000.0  tm_12  3.9056573954447913  9.670363009161427e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  1060000.0  tm_21  45.80195683647896  -1.0273947301028975e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  1080000.0  tm_32  13.237511372773906  1.0313376622310018e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  1100000.0  tm_13  6.806109138138481  1.0345105856375902e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  1120000.0  tm_31  136.40903845288065  -9.594852493353924e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  1140000.0  tm_21  10.02258779858873  1.1269227966444583e-10  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  1160000.0  tm_21  48.17809497004968  9.800651888546952e-11  
IntegratedShapeletGlitch  1261440  5.0  1  0.0  1180000.0  tm_23  136.7898932071154  -9.111109390044167e-11  
