generator  size  dt  physics_upsampling  t0  t_inj  inj_point  beta  level  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  20000.0  tm_12  yo  1e-08  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  40000.0  tm_12  yo  9.812500000000001e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  60000.0  tm_12  yo  -9.625e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  80000.0  tm_12  yo  9.437500000000001e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  100000.0  tm_12  yo  9.25e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  120000.0  tm_12  yo  9.062500000000001e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  140000.0  tm_12  yo  -8.875e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  160000.0  tm_12  yo  -8.687500000000001e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  180000.0  tm_12  yo  8.5e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  200000.0  tm_12  yo  8.3125e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  220000.0  tm_12  yo  -8.125e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  240000.0  tm_12  yo  -7.9375e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  260000.0  tm_12  yo  7.75e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  280000.0  tm_12  yo  7.5625e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  300000.0  tm_12  yo  7.375e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  320000.0  tm_12  yo  7.187500000000001e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  340000.0  tm_12  yo  -7e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  360000.0  tm_12  yo  6.812500000000001e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  380000.0  tm_12  yo  6.625e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  400000.0  tm_12  yo  6.4375000000000006e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  420000.0  tm_12  yo  6.2500000000000005e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  440000.0  tm_12  yo  6.0625000000000005e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  460000.0  tm_12  yo  -5.8750000000000005e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  480000.0  tm_12  yo  -5.6875000000000005e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  500000.0  tm_12  yo  5.5000000000000004e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  520000.0  tm_12  yo  5.3125000000000004e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  540000.0  tm_12  yo  -5.125e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  560000.0  tm_12  yo  -4.9375e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  580000.0  tm_12  yo  -4.75e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  600000.0  tm_12  yo  -4.5625e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  620000.0  tm_12  yo  4.375e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  640000.0  tm_12  yo  4.1875e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  660000.0  tm_12  yo  -4e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  680000.0  tm_12  yo  -3.8125e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  700000.0  tm_12  yo  3.625e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  720000.0  tm_12  yo  -3.4375e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  740000.0  tm_12  yo  3.25e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  760000.0  tm_12  yo  -3.0625e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  780000.0  tm_12  yo  2.875e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  800000.0  tm_12  yo  -2.6875e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  820000.0  tm_12  yo  -2.500000000000001e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  840000.0  tm_12  yo  2.3125e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  860000.0  tm_12  yo  2.125000000000001e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  880000.0  tm_12  yo  1.9375e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  900000.0  tm_12  yo  -1.7500000000000008e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  920000.0  tm_12  yo  -1.5625e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  940000.0  tm_12  yo  -1.3750000000000007e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  960000.0  tm_12  yo  -1.1874999999999999e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  980000.0  tm_12  yo  -1e-09  
