generator  size  dt  physics_upsampling  t0  t_inj  inj_point  beta  level  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  20000.0  tm_12  yo  -1e-09  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  40000.0  tm_13  yo  9.8125e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  60000.0  tm_32  yo  -9.625000000000001e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  80000.0  tm_31  yo  9.4375e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  100000.0  tm_31  yo  -9.25e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  120000.0  tm_21  yo  -9.0625e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  140000.0  tm_13  yo  8.875000000000001e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  160000.0  tm_21  yo  -8.6875e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  180000.0  tm_23  yo  8.500000000000001e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  200000.0  tm_31  yo  8.3125e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  220000.0  tm_13  yo  8.125e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  240000.0  tm_21  yo  -7.937500000000001e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  260000.0  tm_23  yo  7.75e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  280000.0  tm_12  yo  -7.562499999999999e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  300000.0  tm_31  yo  -7.375e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  320000.0  tm_12  yo  -7.1875e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  340000.0  tm_31  yo  7.000000000000001e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  360000.0  tm_31  yo  -6.8125e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  380000.0  tm_31  yo  -6.624999999999999e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  400000.0  tm_23  yo  -6.4375e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  420000.0  tm_13  yo  6.25e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  440000.0  tm_32  yo  6.062500000000001e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  460000.0  tm_13  yo  5.875e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  480000.0  tm_12  yo  5.687499999999999e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  500000.0  tm_23  yo  -5.5e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  520000.0  tm_13  yo  -5.3125e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  540000.0  tm_31  yo  -5.124999999999999e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  560000.0  tm_31  yo  -4.9375e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  580000.0  tm_31  yo  -4.75e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  600000.0  tm_12  yo  -4.5624999999999995e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  620000.0  tm_32  yo  -4.375e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  640000.0  tm_31  yo  4.187499999999999e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  660000.0  tm_12  yo  3.9999999999999996e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  680000.0  tm_31  yo  -3.8125e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  700000.0  tm_21  yo  -3.6249999999999994e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  720000.0  tm_31  yo  3.4375e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  740000.0  tm_13  yo  -3.249999999999999e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  760000.0  tm_12  yo  -3.0624999999999995e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  780000.0  tm_23  yo  -2.875e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  800000.0  tm_13  yo  -2.687499999999999e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  820000.0  tm_23  yo  2.4999999999999996e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  840000.0  tm_13  yo  2.312499999999999e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  860000.0  tm_23  yo  -2.1249999999999994e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  880000.0  tm_32  yo  -1.9374999999999998e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  900000.0  tm_23  yo  1.749999999999999e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  920000.0  tm_13  yo  1.5624999999999995e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  940000.0  tm_32  yo  1.3749999999999989e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  960000.0  tm_21  yo  1.1874999999999993e-10  
OneSidedDoubleExpGlitch  200000  5.0  1  0.0  980000.0  tm_23  yo  1e-10  
