generator  size  dt  physics_upsampling  t0  t_inj  inj_point  beta  level  
IntegratedShapeletGlitch  200000  5.0  1  0.0  58538.56354470577  tm_31  56.26066540721419  4.785875652552337e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  72334.60450134535  tm_21  133.51347289022567  -5.029499328455862e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  78342.81838157334  tm_13  16.816981848866213  5.203284155129305e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  168328.19963473303  tm_12  35.49176462148837  4.76909730517317e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  213697.46687651146  tm_13  7.700611941585675  -3.500179063239398e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  218546.05388118816  tm_31  39.19419150304343  -6.893352445805054e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  221277.75384015983  tm_12  1.231482223487246  3.693182558032258e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  264451.9148978338  tm_31  62.19195637141949  4.414043851733267e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  299178.7044611627  tm_12  4.538901919555174  5.534077322376106e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  303368.33571391786  tm_13  3.537808931442178  4.378547496577509e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  332385.0351741483  tm_21  11.800581428452414  5.78184957589718e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  358665.8008058851  tm_13  72.29226212846771  -4.5622499148677733e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  396541.0659805188  tm_32  20.346788404317078  -4.853582397288974e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  407756.9551388511  tm_31  27.870356610920403  -5.780175118171224e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  412208.14618586394  tm_32  58.78975221315316  4.1731572139522957e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  421493.7232826312  tm_13  82.24910466643946  5.276881134012548e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  445970.92172007187  tm_31  43.80508341823185  4.644464652519064e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  455964.5166880904  tm_12  43.12298346359163  -4.043753218572987e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  477635.55881505064  tm_13  29.40458403387841  -5.402284074717293e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  529345.2158572879  tm_21  83.67603361626077  -5.64294615546001e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  556667.9516069305  tm_12  19.41185653204712  -5.78054880955903e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  592284.1767383645  tm_12  26.484315266911917  -5.388457554852844e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  617147.3952710186  tm_13  101.93518018746187  -6.054594708572215e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  645167.1322159177  tm_23  16.590151758743872  -4.029571015488684e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  659552.2632803686  tm_12  87.65600172985208  5.037993567671939e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  749187.4155074147  tm_21  72.99907439996373  4.071736188027151e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  749448.909361313  tm_23  93.93799543921246  -4.7118935003870946e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  778428.3910699827  tm_31  14.834608942300207  -5.493322243182802e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  803107.6394190241  tm_32  177.04094116622343  4.6615673768828125e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  808454.4741311944  tm_32  63.43863678851353  4.5223516279098923e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  813432.9094079223  tm_23  0.9849968923302881  -4.783238749208546e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  860878.2235262584  tm_32  129.43992613989747  6.122843381095099e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  864092.6691926095  tm_32  16.54327096152993  -5.531745612442849e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  869140.0029581893  tm_23  37.730042838981014  -4.5556150903305854e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  871884.9315948574  tm_23  3.7293956159213786  -6.065889739680265e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  909795.1831144847  tm_21  36.12607272086086  5.033475819824657e-07  
IntegratedShapeletGlitch  200000  5.0  1  0.0  917613.9659426422  tm_23  71.84294827729126  -6.125371265518476e-07  
