generator  size  dt  physics_upsampling  t0  t_inj  inj_point  beta  level  
IntegratedShapeletGlitch  200000  5.0  1  0.0  20000.0  tm_21  129.24866372646596  7.802440406854166e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  40000.0  tm_12  128.00657015659823  -8.630062639876573e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  60000.0  tm_21  10.968701876430151  7.370138441423538e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  80000.0  tm_12  46.477701097740116  8.752825960166356e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  100000.0  tm_23  21.809825043704596  9.281899824164321e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  120000.0  tm_31  24.95630455820405  -8.769036644925617e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  140000.0  tm_32  79.18936179425559  9.105056721496348e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  160000.0  tm_12  56.38324315725479  -9.146541122857105e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  180000.0  tm_32  40.093910243386105  7.722295819678085e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  200000.0  tm_13  2.9554296802050306  -7.113410847798454e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  220000.0  tm_13  207.42469182150924  8.831836769977969e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  240000.0  tm_32  4.763924994006847  -8.624795290990329e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  260000.0  tm_12  48.5855880814621  7.268738513256548e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  280000.0  tm_31  70.73585773631095  -6.381287157000764e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  300000.0  tm_21  97.3299956662164  -5.869630403877951e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  320000.0  tm_31  98.5942592336005  -7.820428382553976e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  340000.0  tm_12  1.791523236176782  -7.56531652725101e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  360000.0  tm_12  46.86220716785379  7.841300619496201e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  380000.0  tm_31  69.4263699806666  -7.922497165814242e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  400000.0  tm_32  26.479675164505977  8.083832159811119e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  420000.0  tm_13  55.153779749916076  -8.325392987803003e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  440000.0  tm_23  12.124193453127582  7.741109942091323e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  460000.0  tm_31  16.48612126941719  -8.149579703610051e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  480000.0  tm_32  53.484293513680036  8.211748198493996e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  500000.0  tm_31  0.4982653001822497  -6.208053795766548e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  520000.0  tm_32  100.74811839950723  -7.894544570205812e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  540000.0  tm_32  36.7109450452951  7.908015035672459e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  560000.0  tm_31  18.43842011541841  -7.153454533703981e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  580000.0  tm_31  1.3270816614744634  6.508928025649058e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  600000.0  tm_21  5.546425757551518  -5.974288499152888e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  620000.0  tm_13  21.08062280839275  8.037560390081357e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  640000.0  tm_32  39.87634106660334  -8.297003960027902e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  660000.0  tm_32  63.300367760774925  7.76181656585003e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  680000.0  tm_12  18.449417933321488  9.703856036304449e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  700000.0  tm_12  0.16234204152497328  -9.95249094075357e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  720000.0  tm_12  146.05484003109527  8.832451689169554e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  740000.0  tm_31  124.82884271818338  8.215145845736602e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  760000.0  tm_23  42.01503155315  8.184179118868274e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  780000.0  tm_32  19.68662947127939  8.423614703125956e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  800000.0  tm_12  9.71234240763161  -8.655654099149869e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  820000.0  tm_23  108.8651592668493  7.612347395483564e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  840000.0  tm_21  32.18485940260477  9.042860598606132e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  860000.0  tm_12  182.32062127607477  -7.100859043965848e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  880000.0  tm_13  185.88381547404103  7.684459112536934e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  900000.0  tm_23  4.766282100297861  7.6901251758135e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  920000.0  tm_32  62.70772402525999  7.289437165734767e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  940000.0  tm_31  47.20456428127183  -8.093576249648141e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  960000.0  tm_32  142.97966145599548  -8.555752927595532e-10  
IntegratedShapeletGlitch  200000  5.0  1  0.0  980000.0  tm_23  30.947373968509112  7.696783236028954e-10  
