generator  size  dt  physics_upsampling  t0  t_inj  inj_point  beta  level  
IntegratedShapeletGlitch  200000  5.0  1  0.0  20000.0  tm_23  15.855773733720326  -4.378852221639294e-12  
IntegratedShapeletGlitch  200000  5.0  1  0.0  40000.0  tm_32  81.50564605188784  -4.432441724611523e-12  
IntegratedShapeletGlitch  200000  5.0  1  0.0  60000.0  tm_32  66.92257674836544  -4.740136557416845e-12  
IntegratedShapeletGlitch  200000  5.0  1  0.0  80000.0  tm_23  82.10461353176048  -4.4939701271454825e-12  
IntegratedShapeletGlitch  200000  5.0  1  0.0  100000.0  tm_32  10.406739640215939  5.241680437150989e-12  
IntegratedShapeletGlitch  200000  5.0  1  0.0  120000.0  tm_13  167.41769285356082  -5.613773888729568e-12  
IntegratedShapeletGlitch  200000  5.0  1  0.0  140000.0  tm_23  58.65700698347336  4.024339429794787e-12  
IntegratedShapeletGlitch  200000  5.0  1  0.0  160000.0  tm_23  57.06504638861903  6.947719951981818e-12  
IntegratedShapeletGlitch  200000  5.0  1  0.0  180000.0  tm_31  48.73849505403708  -5.621730697787941e-12  
IntegratedShapeletGlitch  200000  5.0  1  0.0  200000.0  tm_13  331.9971697692599  -4.898854495149706e-12  
IntegratedShapeletGlitch  200000  5.0  1  0.0  220000.0  tm_23  32.76426165205245  4.504624696108798e-12  
IntegratedShapeletGlitch  200000  5.0  1  0.0  240000.0  tm_31  66.37457332952914  -4.519458300351103e-12  
IntegratedShapeletGlitch  200000  5.0  1  0.0  260000.0  tm_31  26.36236642936623  5.895425529729872e-12  
IntegratedShapeletGlitch  200000  5.0  1  0.0  280000.0  tm_32  22.061270170082167  -4.975328773112322e-12  
IntegratedShapeletGlitch  200000  5.0  1  0.0  300000.0  tm_31  39.77555765734396  -5.582345410835491e-12  
IntegratedShapeletGlitch  200000  5.0  1  0.0  320000.0  tm_13  110.86399329987277  -4.984714208974941e-12  
IntegratedShapeletGlitch  200000  5.0  1  0.0  340000.0  tm_31  55.33329545689861  5.735238372679469e-12  
IntegratedShapeletGlitch  200000  5.0  1  0.0  360000.0  tm_31  11.830001013641004  6.450548710627013e-12  
IntegratedShapeletGlitch  200000  5.0  1  0.0  380000.0  tm_23  240.17113606955166  -7.224084071406453e-12  
IntegratedShapeletGlitch  200000  5.0  1  0.0  400000.0  tm_12  21.4326000494797  6.463920121796133e-12  
IntegratedShapeletGlitch  200000  5.0  1  0.0  420000.0  tm_21  14.898385689629992  -5.548497918689355e-12  
IntegratedShapeletGlitch  200000  5.0  1  0.0  440000.0  tm_13  91.89833226904359  -3.732023712722896e-12  
IntegratedShapeletGlitch  200000  5.0  1  0.0  460000.0  tm_32  45.400108116227955  5.405760970505663e-12  
IntegratedShapeletGlitch  200000  5.0  1  0.0  480000.0  tm_12  49.393472610028574  -7.943860494800446e-12  
IntegratedShapeletGlitch  200000  5.0  1  0.0  500000.0  tm_23  7.258961075394815  -3.219639845046223e-12  
IntegratedShapeletGlitch  200000  5.0  1  0.0  520000.0  tm_21  217.6441997340493  3.705973370802215e-12  
